asin,title,imgUrl,productURL,stars,reviews,price,listPrice,category_id,isBestSeller,boughtInLastMonth,category_name,price_capped,reviews_capped
B0C72BBX2K,340-Piece Drywall Anchors and Screws Combo Pack - Includes 170 Plastic Wall Anchors and 170 Screws - Assorted Sizes - Organizer Box Included,https://m.media-amazon.com/images/I/719Vn02sGsL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C72BBX2K,4.6,0,6.9,0.0,154,False,700,Fasteners,6.9,0.0
B0BKGCPHVH,"Girl Tutu Skirts,3Layers Tulle Sequin Star Ballet Dance Tutu Skirt Princess Christmas Skirt for Girl Toddler 2-8 Years",https://m.media-amazon.com/images/I/51lttzoeKlL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BKGCPHVH,4.3,44,7.99,0.0,91,False,0,Girls' Clothing,7.99,44.0
B08M4BN431,Corsair iCUE 5000X RGB Tempered Glass Mid-Tower ATX PC Smart Case - White,https://m.media-amazon.com/images/I/716nFovNhSL._AC_UL320_.jpg,https://www.amazon.com/dp/B08M4BN431,4.8,0,189.99,214.99,63,False,0,Computer Components,189.99,0.0
B097YXFWL4,"Dr. Scholl's Moleskin Padding Strips, 3 Strips // Thin, Flexible Cushioning & Pain Relief - Cut to Any Size - Doctor Recommended - Strip Size 4 1/8 Inches X 3 3/8 Inches",https://m.media-amazon.com/images/I/81rbkYmbw4L._AC_UL320_.jpg,https://www.amazon.com/dp/B097YXFWL4,4.7,0,5.99,6.66,131,False,3000,Health Care Products,5.99,0.0
B07W3SH69B,"COKOHAPPY Halloween Temporary Face Tattoos Makeup Kit (13 Pack), Day of the Dead Sugar Skull Floral Black Skeleton Web Red Roses Full Face Mask Stickers Tattoo Families Party Supplies",https://m.media-amazon.com/images/I/71ije6pzB-L._AC_UL320_.jpg,https://www.amazon.com/dp/B07W3SH69B,4.3,613,6.99,0.0,48,False,200,Makeup,6.99,613.0
B07L3Y9DBH,Girls Fashion PU Leather Motorcycle Jacket Children's Outerwear Slim Coat 2-12 Years,https://m.media-amazon.com/images/I/61rBUW+WuwL._AC_UL320_.jpg,https://www.amazon.com/dp/B07L3Y9DBH,4.5,65,31.99,0.0,91,False,0,Girls' Clothing,31.99,65.0
B09NSCJC9W,"Google Nest WiFi - AC2200 (2nd Generation) Router and Add On Access Point Mesh Wi-Fi System (3-Pack, Snow)",https://m.media-amazon.com/images/I/41LKK7X+HNL._AC_UL320_.jpg,https://www.amazon.com/dp/B09NSCJC9W,4.4,0,169.0,227.0,81,False,0,Computers,169.0,0.0
B00PA4AG7S,"Boys' P0425/S Polarized Rectangular Sunglasses, Shiny Black, 55 mm",https://m.media-amazon.com/images/I/61PQghYG1mL._AC_UL320_.jpg,https://www.amazon.com/dp/B00PA4AG7S,5.0,0,12.72,0.0,87,False,0,Boys' Accessories,12.72,0.0
B07YJFH22W,"MATEIN Travel Laptop Backpack for Men, Water Resistant Anti-Theft Bag with USB Charging Port Fits 15.6 Inch Computer, Sturdy Work Business Backpacks for Men Women Gifts, Lightweight Casual Daypack",https://m.media-amazon.com/images/I/91SbTjSHMEL._AC_UL320_.jpg,https://www.amazon.com/dp/B07YJFH22W,4.7,0,29.97,45.99,65,False,0,Laptop Accessories,29.97,0.0
B0CDS4W8FZ,6Pcs Halloween Light Up Pumpkin Necklace Halloween LED Necklaces Glow in the Dark Flashing Jack O Lantern Necklace Party Favors,https://m.media-amazon.com/images/I/611sOIL-fcL._AC_UL320_.jpg,https://www.amazon.com/dp/B0CDS4W8FZ,5.0,0,20.99,29.99,225,False,100,Kids' Dress Up & Pretend Play,20.99,0.0
B0BYS37QHF,"Corrugated Cardboard Cat House Castle – Let Your Kitties Scratch, Play, & Rest in Your 19 x 29 x 31 in. Cardboard Cat House for Indoor Cats – Large Majestic Manor Design – Cat Play House from LARSA",https://m.media-amazon.com/images/I/61O0qf-l-AL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BYS37QHF,3.8,27,43.19,0.0,179,False,0,Cat Supplies,43.19,27.0
B0C4KF99VZ,"FBCOO Halloween I Smell Children Mailbox Cover Magnetic Standard Size 21"" x 19"", Sanderson Sisters Witch Hocus Pocus Decorative Post Letter Box Decor, Spider Web Holiday Garden Yard Outdoor Decoration",https://m.media-amazon.com/images/I/71AEmjQ0uCL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C4KF99VZ,4.7,4,12.99,16.99,211,False,0,Hardware,12.99,4.0
B0C4GX7KTV,"Linsoul Raptgo Bridge 2BA+2DD+PZT Tribrid in-Ear Monitor, HiFi IEM with Tuning Switch, Interchangeable Metal Filters, 4 Way Crossover for Musician Audiophile DJ Studio (Purple, Bridge)",https://m.media-amazon.com/images/I/61ULyosp6+L._AC_UL320_.jpg,https://www.amazon.com/dp/B0C4GX7KTV,4.7,5,159.0,0.0,71,False,0,Headphones & Earbuds,159.0,5.0
B00JW206CE,Dorman 1610250 Driver Side Tail Light Assembly Compatible with Select Ford Models,https://m.media-amazon.com/images/I/91Y5EfobmlL._AC_UL320_.jpg,https://www.amazon.com/dp/B00JW206CE,4.8,0,24.58,0.0,22,False,0,"Lights, Bulbs & Indicators",24.58,0.0
B07FMFVTRP,TARTE Double Duty Beauty Shape Tape Contour Concealer Medium Honey,https://m.media-amazon.com/images/I/51-gsE8GOFL._AC_UL320_.jpg,https://www.amazon.com/dp/B07FMFVTRP,4.5,0,26.9,0.0,48,False,100,Makeup,26.9,0.0
B0784QTL47,HJ Garden XH-W3002 Mini Thermostat DC 12V 10A Digital LED Temperature Controller -50 to 110 Degree Heating/Cooling Temperature Control Switch with Waterproof Sensor Probe,https://m.media-amazon.com/images/I/61bwphhHa8L._AC_UL320_.jpg,https://www.amazon.com/dp/B0784QTL47,4.0,0,9.99,20.99,213,False,0,Measuring & Layout,9.99,0.0
